Object_ID,Crash_ID,Case_Number,County,Crash_Year,Crash_Date,Crash_Time,Crash_Type,Fatalities,Injuries,Vehicles_Involved,First_Harmful_Event,Collision_Manner,Weather_Condition,Light_Condition,Location_Type,Longitude,Latitude
459413,19SR100001,8163626,DAVIDSON,2025,2025-10-07,1630,Prop Damage (over),0,0,2,--,REAR-END,Clear,Daylight,--,-86.94279749155059,36.04728256162026
233976,19SR254001,400210636,DAVIDSON,2025,2025-01-22,121,Prop Damage (over),0,0,3,Vehicle in Transport,"SIDESWIPE, OPP DIR",Clear,Dark-Lighted,Automatic,-86.65966215134895,36.04489492639337
295193,190A417001,400210638,DAVIDSON,2025,2025-01-22,130,Possible Injury,0,1,5,Parked Motor Vehicle,"SIDESWIPE, SAME DIR",Clear,Dark-Lighted,Automatic,-86.71273651405474,36.28464808004093
318040,19I0024001,400210649,DAVIDSON,2025,2025-01-22,451,Suspected Minor Injury,0,1,1,Concrete Traffic Barrier,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.71004131201391,36.098282181079206
194019,1901008001,400210349,DAVIDSON,2025,2025-01-21,939,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.66276123070709,35.99104064280089
199097,1904886001,400210334,DAVIDSON,2025,2025-01-21,800,Suspected Minor Injury,0,1,1,Overturn,NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.73020471676625,36.07044084123116
199099,1904886001,400210307,DAVIDSON,2025,2025-01-21,730,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.7299054689506,36.06922338291432
200062,1904938001,400210455,DAVIDSON,2025,2025-01-21,1415,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.67609289959164,36.18602432494245
200652,1904958001,400210593,DAVIDSON,2025,2025-01-21,1803,Prop Damage (over),0,0,2,Vehicle in Transport,REAR TO REAR,Clear,Dark-Lighted,Automatic,-86.62034631243394,36.05313948074681
203838,190D152001,400210528,DAVIDSON,2025,2025-01-21,1501,Prop Damage (over),0,0,2,Vehicle in Transport in other Roadway,REAR-END,Clear,Daylight,Automatic,-86.84617526342497,36.15546292070832
213387,19I0040001,400210303,DAVIDSON,2025,2025-01-21,747,Suspected Minor Injury,0,1,3,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.76473806638438,36.15311021421849
218465,19I0065001,400210257,DAVIDSON,2025,2025-01-21,603,Suspected Minor Injury,0,1,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Dawn,Automatic,-86.7691573315046,36.23238362118701
218944,19I0065001,400210570,DAVIDSON,2025,2025-01-21,1645,Suspected Minor Injury,0,1,2,Vehicle in Transport,REAR-END,Clear,Dusk,Automatic,-86.73704055194722,36.2668906487107
219007,19I0065001,400210264,DAVIDSON,2025,2025-01-21,638,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dawn,Automatic,-86.73572553886156,36.27335060468917
219460,19I0440001,400210493,DAVIDSON,2025,2025-01-21,1525,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.82279685890997,36.15297116185856
219837,19I0440001,400210498,DAVIDSON,2025,2025-01-21,1515,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.75110687123036,36.1228587336641
221169,19SR001001,400210606,DAVIDSON,2025,2025-01-21,2200,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.7117152910695,36.12714296132015
223763,19SR006001,400210597,DAVIDSON,2025,2025-01-21,1715,Prop Damage (over),0,0,3,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.7238005720482,36.2391307079106
224300,19SR006001,400210585,DAVIDSON,2025,2025-01-21,1700,Prop Damage (under),0,0,2,Other Object (not fixed),NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.70843976222697,36.28014316509675
227885,19SR024001,400210377,DAVIDSON,2025,2025-01-21,843,Suspected Minor Injury,0,1,2,Vehicle in Transport in other Roadway,ANGLE,Clear,--,Automatic,-86.81036036516103,36.155614190341225
232935,19SR254001,400210550,DAVIDSON,2025,2025-01-21,1729,Prop Damage (over),0,0,3,Vehicle in Transport,REAR-END,Clear,Dark-Not Lighted,Automatic,-86.84299207981579,36.04317749897824
233580,19SR254001,400210523,DAVIDSON,2025,2025-01-21,1618,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.68667571749663,36.044712306174816
298196,19SR155001,400210623,DAVIDSON,2025,2025-01-21,0,Prop Damage (over),0,0,1,Concrete Traffic Barrier,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.69358286553113,36.147132742481446
311673,1904927001,400210325,DAVIDSON,2025,2025-01-21,800,Prop Damage (over),0,0,1,Guardrail Face,NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.8065406579241,36.30351160343278
324404,1901011001,400210234,DAVIDSON,2025,2025-01-21,40,Prop Damage (over),0,0,1,Guardrail End,NO COLLISION W/ VEHICLE,Clear,Dark-Not Lighted,Automatic,-86.61344331035954,36.16242805931836
324464,1901017001,400210539,DAVIDSON,2025,2025-01-21,1553,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.69733589347,36.29474137845381
325234,1903256001,400210405,DAVIDSON,2025,2025-01-21,1102,Prop Damage (over),0,0,3,Vehicle in Transport,ANGLE,Cloudy,Daylight,Automatic,-86.79224256447864,36.13604017183396
325439,1903262001,400210379,DAVIDSON,2025,2025-01-21,843,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.784846594372,36.17528311636132
326167,1904170001,400210561,DAVIDSON,2025,2025-01-21,1753,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.69102918836359,36.06907645954008
329460,190E374001,400210610,DAVIDSON,2025,2025-01-21,1930,Prop Damage (over),0,0,3,Work Vehicle,HEAD-ON,Clear,Dark-Lighted,Automatic,-86.58706129730487,36.17452348940687
329473,190E432001,400210484,DAVIDSON,2025,2025-01-21,1530,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.69046635868114,36.197000640922376
331028,19I0024001,400210414,DAVIDSON,2025,2025-01-21,1216,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.77431899069514,36.18001424025489
332019,19I0024001,400210415,DAVIDSON,2025,2025-01-21,1230,Prop Damage (over),0,0,1,Thrown or Falling Object,NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.6984203002299,36.083182416510205
337475,19SR001001,400210619,DAVIDSON,2025,2025-01-21,1900,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Dark-Lighted,Automatic,-86.60728251864154,36.04362967794995
338571,19SR011001,400210544,DAVIDSON,2025,2025-01-21,1631,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dusk,Automatic,-86.72668586138352,36.0807022429995
338663,19SR011001,400210572,DAVIDSON,2025,2025-01-21,1758,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.73962531726798,36.09991030499946
341191,19SR155001,400210595,DAVIDSON,2025,2025-01-21,0,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Dark-Not Lighted,Automatic,-86.86990988487328,36.203628875615344
341353,19SR171001,400210406,DAVIDSON,2025,2025-01-21,1152,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.61985632449867,36.016873718249805
381812,1901011001,400210560,DAVIDSON,2025,2025-01-21,1743,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dusk,Automatic,-86.62642794141271,36.09035140954347
382955,1903252001,400210529,DAVIDSON,2025,2025-01-21,1639,Suspected Minor Injury,0,1,2,Vehicle in Transport,ANGLE,Clear,Dusk,Automatic,-86.7253771610568,36.22647371364366
383133,1903257001,400210386,DAVIDSON,2025,2025-01-21,1032,Suspected Serious Injury,0,4,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.82260539254206,36.17382660373105
383140,1903257001,400210545,DAVIDSON,2025,2025-01-21,1747,Possible Injury,0,1,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.85416346655285,36.16534758640727
384730,1904898001,400210364,DAVIDSON,2025,2025-01-21,1022,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.88648754677057,36.10795046208636
386126,190C047001,400210242,DAVIDSON,2025,2025-01-21,505,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.74108320756697,36.10763945338446
390096,19SR011001,400210224,DAVIDSON,2025,2025-01-21,43,Suspected Minor Injury,0,2,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.75703836373981,36.24193888272512
391099,19SR024001,400210276,DAVIDSON,2025,2025-01-21,635,Possible Injury,0,1,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.75359023273758,36.15359355511661
392866,19SR155001,400210500,DAVIDSON,2025,2025-01-21,1425,Possible Injury,0,2,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.85453847036068,36.12946550777492
393465,19SR254001,400210640,DAVIDSON,2025,2025-01-21,2206,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.66156302690585,36.04476431104796
413491,19SR001001,400210295,DAVIDSON,2025,2025-01-21,705,Prop Damage (over),0,0,1,Ditch,NO COLLISION W/ VEHICLE,Cloudy,Daylight,Automatic,-86.89014820011326,36.0902094904906
415503,1903268001,400210553,DAVIDSON,2025,2025-01-21,1902,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.78097398746993,36.23731674022728
416385,19SR001001,400210305,DAVIDSON,2025,2025-01-21,710,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Cloudy,Daylight,Automatic,-86.89014820011326,36.0902094904906
416621,19SR001001,400210627,DAVIDSON,2025,2025-01-21,1921,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Dark-Lighted,Automatic,-86.74060220312091,36.14155652841851
417995,19SR254001,400210509,DAVIDSON,2025,2025-01-21,1524,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.74347221820676,36.0400143048366
429722,19SR254001,400210407,DAVIDSON,2025,2025-01-21,1210,Suspected Minor Injury,0,1,2,Vehicle in Transport,REAR-END,Cloudy,Daylight,Automatic,-86.71976516315922,36.04560231616757
439218,19SR011001,400210403,DAVIDSON,2025,2025-01-21,1132,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.7452282163622,36.11093646101174
447990,19I0024001,400210311,DAVIDSON,2025,2025-01-21,821,Suspected Minor Injury,0,1,1,Guardrail Face,NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.72084719373223,36.108309071509225
203803,190D105001,400210078,DAVIDSON,2025,2025-01-20,1334,Possible Injury,0,1,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.87374148458262,36.14648616891819
205997,190F718001,400209908,DAVIDSON,2025,2025-01-20,25,Prop Damage (under),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.77847469033087,36.16054097245432
208593,19I0024001,400209979,DAVIDSON,2025,2025-01-20,825,Suspected Serious Injury,0,2,1,Overturn,NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.72713013680888,36.13623932260639
211116,19I0024001,400210216,DAVIDSON,2025,2025-01-20,1655,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.65406934589942,36.04239543596243
214279,19I0040001,400210207,DAVIDSON,2025,2025-01-20,2040,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.73853145474503,36.143932532730624
222320,19SR001001,400210037,DAVIDSON,2025,2025-01-20,1224,Suspected Minor Injury,0,3,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.63248524628146,36.06853515283283
223937,19SR006001,400210174,DAVIDSON,2025,2025-01-20,1730,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.71781698309927,36.251718770023125
227183,19SR012001,400210053,DAVIDSON,2025,2025-01-20,1216,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.83176716314358,36.19402994278248
231685,19SR155001,400210104,DAVIDSON,2025,2025-01-20,1440,Prop Damage (under),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.69415634303496,36.22403830573207
231701,19SR155001,400210189,DAVIDSON,2025,2025-01-20,2010,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.6988455179116,36.23000584268348
233567,19SR254001,400210212,DAVIDSON,2025,2025-01-20,2245,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.68712913762903,36.04445312169464
235247,19SR255001,400210161,DAVIDSON,2025,2025-01-20,1855,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.66669038653185,36.14408986159039
284298,19I0024001,400209922,DAVIDSON,2025,2025-01-20,315,Suspected Minor Injury,0,3,1,Embankment Rock/Stone/Concrete,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.72717837328184,36.13658538180836
311917,19I0024001,400210202,DAVIDSON,2025,2025-01-20,2210,Possible Injury,0,1,1,Earth Embankment,NO COLLISION W/ VEHICLE,Clear,Dark-Not Lighted,Automatic,-86.68937282664803,36.06912963132458
312942,1903246001,400210181,DAVIDSON,2025,2025-01-20,1955,Prop Damage (over),0,0,2,Parked Motor Vehicle,REAR-END,Clear,Dark-Lighted,Automatic,-86.77466298642346,36.161177851816674
313168,19SR001001,400210054,DAVIDSON,2025,2025-01-20,0,Prop Damage (over),0,0,2,Parked Motor Vehicle,UNKNOWN,Clear,Daylight,Automatic,-86.7952296135046,36.15337250589135
321777,190B307001,400209913,DAVIDSON,2025,2025-01-20,120,Suspected Minor Injury,0,1,1,Shrubbery,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.60420988209523,36.03548973125318
325004,1903252001,400210205,DAVIDSON,2025,2025-01-20,1815,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.7462904557734,36.18856901837748
325466,1903264001,400210010,DAVIDSON,2025,2025-01-20,1000,Prop Damage (over),0,0,1,Utility Pole,NO COLLISION W/ VEHICLE,Clear,Daylight,Automatic,-86.80125004458468,36.150487951230126
326413,1904876001,400210106,DAVIDSON,2025,2025-01-20,1517,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.58857367407491,36.21529450405156
327798,190A901001,400210221,DAVIDSON,2025,2025-01-20,1746,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.60247287538455,36.206061662624464
329647,190F106001,400210059,DAVIDSON,2025,2025-01-20,0,Prop Damage (over),0,0,2,Parked Motor Vehicle,"SIDESWIPE, OPP DIR",Clear,Dark-Lighted,Automatic,-86.8106446290189,36.13384928879439
330476,190H855001,400210039,DAVIDSON,2025,2025-01-20,1141,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.64162266392735,36.07048523478888
334363,19I0040001,400210052,DAVIDSON,2025,2025-01-20,1200,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.70311944544629,36.143384451001786
337338,19SR001001,400210051,DAVIDSON,2025,2025-01-20,1316,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.63302942345561,36.06903033004813
338742,19SR011001,400209959,DAVIDSON,2025,2025-01-20,0,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.75212116956315,36.1249140224856
339205,19SR012001,400210000,DAVIDSON,2025,2025-01-20,747,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.85082539017478,36.20348188888129
342414,19SR255001,400209982,DAVIDSON,2025,2025-01-20,815,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.6644170289803,36.13195373402408
385325,1904960001,400209995,DAVIDSON,2025,2025-01-20,830,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.63835543391507,36.035080303919976
386148,190C304001,400210199,DAVIDSON,2025,2025-01-20,1902,Suspected Minor Injury,0,1,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.72446424217266,36.08317578892824
386748,190G685001,400210191,DAVIDSON,2025,2025-01-20,1948,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.59835887960202,36.052796325248565
388466,19SR006001,400210140,DAVIDSON,2025,2025-01-20,0,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.774965285835,36.12013148327358
389535,19SR011001,400210214,DAVIDSON,2025,2025-01-20,514,Suspected Minor Injury,0,3,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.72559317315604,36.07711938577365
389828,19SR011001,400210143,DAVIDSON,2025,2025-01-20,1825,Prop Damage (over),0,0,3,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.75888924650846,36.13392551272837
390937,19SR024001,400210091,DAVIDSON,2025,2025-01-20,0,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.79365632600403,36.16073557322363
391871,19SR045001,400210162,DAVIDSON,2025,2025-01-20,1936,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.615424927865,36.19090622198236
427740,190B301001,400209972,DAVIDSON,2025,2025-01-20,700,Suspected Minor Injury,0,1,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.59279786419445,36.07031836302188
428002,19SR001001,400210204,DAVIDSON,2025,2025-01-20,1942,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.81547237776422,36.1425325340543
428566,19SR006001,400210133,DAVIDSON,2025,2025-01-20,1635,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.69179907634289,36.3027788801444
438230,19SR001001,400209914,DAVIDSON,2025,2025-01-20,156,Prop Damage (over),0,0,1,Utility Pole,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.79934233964694,36.1513775528722
460408,1903252001,400209956,DAVIDSON,2025,2025-01-20,725,Prop Damage (under),0,0,1,--,--,--,--,Automatic,-86.74723084003568,36.18642196150816
461188,190A648001,400210042,DAVIDSON,2025,2025-01-20,1140,Prop Damage (under),0,0,2,--,--,--,--,Automatic,-86.70506342011733,36.2868466802413
461543,190E165001,400210401,DAVIDSON,2025,2025-01-20,0,Prop Damage (under),0,0,2,--,--,--,--,Automatic,-86.7531779154525,36.17380121341385
464663,19SR112001,400210130,DAVIDSON,2025,2025-01-20,1719,Prop Damage (under),0,0,2,--,--,--,--,Automatic,-86.83890919052733,36.21099957542916
198846,1904836001,400209826,DAVIDSON,2025,2025-01-19,1625,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, OPP DIR",Cloudy,Daylight,Automatic,-86.74047015240043,36.01530626829247
208235,19I0024001,400209842,DAVIDSON,2025,2025-01-19,1735,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Dark-Lighted,Automatic,-86.76133746441796,36.16251297787598
210523,19I0024001,400209636,DAVIDSON,2025,2025-01-19,331,Suspected Minor Injury,0,2,9,Vehicle in Transport,REAR-END,11,Dark-Lighted,Automatic,-86.68068862521072,36.06075111715712
211159,19I0024001,400209724,DAVIDSON,2025,2025-01-19,953,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Blowing Snow,Daylight,Automatic,-86.65240870634554,36.04143496559672
211855,19I0040001,400209593,DAVIDSON,2025,2025-01-19,30,Prop Damage (over),0,0,3,Vehicle in Transport,ANGLE,Snow,Dark-Lighted,Automatic,-86.9778656013638,36.074452197035
213243,19I0040001,400209719,DAVIDSON,2025,2025-01-19,1048,Suspected Minor Injury,0,3,2,Vehicle in Transport,ANGLE,Cloudy,Daylight,Automatic,-86.77044747223988,36.15065488158044
221493,19SR001001,400209866,DAVIDSON,2025,2025-01-19,0,Suspected Minor Injury,0,1,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.670110328444,36.10491936629197
223265,19SR006001,400209653,DAVIDSON,2025,2025-01-19,722,Suspected Minor Injury,0,1,1,Pedestrian,NO COLLISION W/ VEHICLE,Snow,Daylight,Automatic,-86.78220775374078,36.1591218616984
224002,19SR006001,400209764,DAVIDSON,2025,2025-01-19,1310,Suspected Serious Injury,0,3,3,Vehicle in Transport,ANGLE,Cloudy,Daylight,Automatic,-86.71540846133814,36.25483671133856
226352,19SR011001,400209833,DAVIDSON,2025,2025-01-19,1635,Prop Damage (under),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.75894190517816,36.23128283907903
230748,19SR112001,400209814,DAVIDSON,2025,2025-01-19,1610,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.83556035254874,36.227291718176886
233118,19SR254001,400209882,DAVIDSON,2025,2025-01-19,1936,Suspected Minor Injury,0,1,3,Vehicle in Transport,ANGLE,Cloudy,Dark-Lighted,Automatic,-86.76948166195068,36.040431508573015
284763,19I0065001,400209644,DAVIDSON,2025,2025-01-19,722,Possible Injury,0,1,1,Other Traffic Barrier,NO COLLISION W/ VEHICLE,Snow,Daylight,Automatic,-86.77300627560473,36.22511857871811
318073,19I0040001,400209727,DAVIDSON,2025,2025-01-19,919,Prop Damage (over),0,0,1,Concrete Traffic Barrier,NO COLLISION W/ VEHICLE,Snow,Daylight,Automatic,-86.92324382077464,36.11082174869272
318222,19SR155001,400209877,DAVIDSON,2025,2025-01-19,2130,Prop Damage (over),0,0,1,Wall,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.69516028156632,36.1458296267532
319339,19I0040001,400209717,DAVIDSON,2025,2025-01-19,821,Suspected Minor Injury,0,1,1,Guardrail Face,NO COLLISION W/ VEHICLE,Snow,Daylight,Automatic,-86.90376694849576,36.12607505644354
319591,19SR255001,400209598,DAVIDSON,2025,2025-01-19,50,Suspected Serious Injury,0,1,1,Ditch,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.72396921129481,36.08023006895794
329459,190E369001,400209924,DAVIDSON,2025,2025-01-19,2300,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Lighted,Automatic,-86.6636580062321,36.14395296651001
330493,190H895001,400209889,DAVIDSON,2025,2025-01-19,1240,Prop Damage (over),0,0,2,Parked Motor Vehicle,REAR TO SIDE,Clear,Daylight,Automatic,-86.65664882220366,36.08449882619392
334940,19I0065001,400210093,DAVIDSON,2025,2025-01-19,1601,Prop Damage (over),0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,-86.76811535991041,36.10685250680048
340899,19SR155001,400209896,DAVIDSON,2025,2025-01-19,2218,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.70018258752154,36.139339941024254
381907,1901011001,400209679,DAVIDSON,2025,2025-01-19,830,Suspected Minor Injury,0,1,2,Vehicle in Transport,HEAD-ON,Cloudy,Daylight,Automatic,-86.60276187981239,36.1651555727993
387587,19SR001001,400209615,DAVIDSON,2025,2025-01-19,315,Suspected Serious Injury,0,1,2,Vehicle in Transport,ANGLE,Snow,Dark-Lighted,Automatic,-86.76117425109462,36.14842054485213
393645,19SR254001,400209904,DAVIDSON,2025,2025-01-19,2329,Suspected Minor Injury,0,3,3,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.64233998123493,36.05501733236238
426955,1903248001,400209687,DAVIDSON,2025,2025-01-19,902,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.79258632697675,36.111612465206
444545,19I0024001,400209870,DAVIDSON,2025,2025-01-19,1800,Possible Injury,0,1,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Dark-Not Lighted,Automatic,-86.6473247845419,36.03828418699481
445386,19SR011001,400209725,DAVIDSON,2025,2025-01-19,1040,Suspected Minor Injury,0,1,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.75696182162864,36.24225116984999
447974,19I0024001,400209881,DAVIDSON,2025,2025-01-19,2214,Possible Injury,0,1,1,Embankment Rock/Stone/Concrete,NO COLLISION W/ VEHICLE,Clear,Dark-Lighted,Automatic,-86.72717837328184,36.13658538180836
448756,19I0040001,400209681,DAVIDSON,2025,2025-01-19,840,Prop Damage (over),0,0,1,Earth Embankment,NO COLLISION W/ VEHICLE,Snow,Daylight,Automatic,-86.6062270154395,36.16911953214397
452135,1903252001,400209806,DAVIDSON,2025,2025-01-19,1546,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,-86.74783761094882,36.18502911833221
196151,1903256001,400209228,DAVIDSON,2025,2025-01-18,0,Possible Injury,0,2,3,Vehicle in Transport,OTHER,Rain,Dark-Lighted,Automatic,-86.7936390906862,36.136194701332
196219,1903256001,400209344,DAVIDSON,2025,2025-01-18,1138,Suspected Minor Injury,0,1,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.77965242135186,36.13423126081696
200660,1904958001,400209351,DAVIDSON,2025,2025-01-18,1030,Prop Damage (over),0,0,3,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.6187389260362,36.05433432968052
201149,1904968001,400209469,DAVIDSON,2025,2025-01-18,1735,Suspected Minor Injury,0,1,2,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.67579680861617,36.06858625348975
201377,1905344001,400209500,DAVIDSON,2025,2025-01-18,1844,Prop Damage (over),0,0,3,Vehicle in Transport,REAR-END,Clear,Dark-Lighted,Automatic,-86.77806731740688,36.16476747005611
202194,190A715001,400209329,DAVIDSON,2025,2025-01-18,753,Suspected Minor Injury,0,1,2,Vehicle in Transport,REAR-END,Unknown,Dark-Lighted,Automatic,-86.64619354178623,36.2651622002295
202762,190B428001,400209524,DAVIDSON,2025,2025-01-18,1600,Prop Damage (over),0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,-86.69588874768246,36.21700598528464
208163,19I0024001,400209385,DAVIDSON,2025,2025-01-18,1233,Prop Damage (over),0,0,2,Vehicle in Transport,ANGLE,Cloudy,Daylight,Automatic,-86.76212044993494,36.16330564692017
